,theta_grid_EB_misspec_e_location_scale,theta_grid_EB_NPMLEinit_e_location_scale,theta_grid_NPMLE_e_location_scale,pi_hat_EB_misspec_e_location_scale,pi_hat_EB_NPMLEinit_e_location_scale,pi_hat_NPMLE_e_location_scale,theta_grid_EB_misspec_e_median_scale,theta_grid_EB_NPMLEinit_e_median_scale,theta_grid_NPMLE_e_median_scale,pi_hat_EB_misspec_e_median_scale,pi_hat_EB_NPMLEinit_e_median_scale,pi_hat_NPMLE_e_median_scale,theta_grid_EB_misspec_e_location_IQR,theta_grid_EB_NPMLEinit_e_location_IQR,theta_grid_NPMLE_e_location_IQR,pi_hat_EB_misspec_e_location_IQR,pi_hat_EB_NPMLEinit_e_location_IQR,pi_hat_NPMLE_e_location_IQR,theta_grid_EB_misspec_e_median_IQR,theta_grid_EB_NPMLEinit_e_median_IQR,theta_grid_NPMLE_e_median_IQR,pi_hat_EB_misspec_e_median_IQR,pi_hat_EB_NPMLEinit_e_median_IQR,pi_hat_NPMLE_e_median_IQR
49,0.10079013,-0.6081878,-0.16168717495106089,0.0007170005,0.0,0.0,0.007085001,-0.607734,-0.16168717495106089,0.0006451373,0.0,0.0,0.103121325,0.28757858,-0.16168717495106089,0.00044846014,0.0,0.0,0.012663157,-0.61120635,-0.16168717495106089,0.00028696662,0.0,0.0
50,0.12495503,-0.5557563,-0.08491483090365426,0.0008235062,0.0,0.0,0.0525545,-0.5553694,-0.08491483090365426,0.00073198683,0.0,0.0,0.12667874,0.2949875,-0.08491483090365426,0.00050271465,0.0,0.0,0.048108827,-0.55813056,-0.08491483090365426,0.00031540255,0.0,0.0
51,0.14462116,-0.50332475,-0.008142486856248077,0.000945393,0.0,0.0,0.08709388,-0.5030048,-0.008142486856248077,0.00083744776,0.0,0.0,0.14621787,0.30239645,-0.008142486856248077,0.0005639141,0.0,0.0,0.07734616,-0.5050548,-0.008142486856248077,0.0003487599,0.0,0.0
52,0.1609244,-0.45089298,0.06862985719115855,0.0010840364,0.0,0.0,0.113944925,-0.45064017,0.06862985719115855,0.0009611298,0.0,0.0,0.1626666,0.3098055,0.06862985719115855,0.000632469,0.0,0.0,0.10169148,-0.45197886,0.06862985719115855,0.00038705172,0.0,0.0
53,0.17465347,-0.39846146,0.14540220123856518,0.0012413121,0.0,0.0,0.1353317,-0.39827532,0.14540220123856518,0.0011037582,0.0,0.0,0.17669594,0.31721446,0.14540220123856518,0.00070897816,0.0,0.0,0.12218992,-0.39890307,0.14540220123856518,0.00043047126,0.0,0.0
54,0.18636674,-0.34602994,0.2221745452859718,0.001419626,0.0,0.0,0.15274477,-0.3459107,0.2221745452859718,0.0012668893,0.0,0.0,0.18879575,0.3246234,0.2221745452859718,0.0007942205,0.0,0.0,0.1396425,-0.3458273,0.2221745452859718,0.0004793727,0.0,0.0
55,0.19646677,-0.2935984,0.29894688933337843,0.0016220742,0.0,0.0,0.16719072,-0.29354608,0.29894688933337843,0.001452806,0.0,0.0,0.19932911,0.33203235,0.29894688933337843,0.0008891998,0.0,0.0,0.15465519,-0.29275152,0.29894688933337843,0.0005342804,0.0,0.0
56,0.20524947,-0.24116711,0.37571923338078506,0.0018526877,0.0,0.0,0.1793637,-0.24118146,0.37571923338078506,0.0016645675,0.0,0.0,0.20856798,0.33944127,0.37571923338078506,0.0009952289,0.0,0.0,0.16768742,-0.23967573,0.37571923338078506,0.00059591804,0.0,0.0
57,0.21293539,-0.18873557,0.4524915774281908,0.0021169367,0.0,0.0,0.18975304,-0.18881662,0.4524915774281908,0.0019061904,0.0,0.0,0.21671858,0.34685034,0.4524915774281908,0.001114085,0.0,0.0,0.17908959,-0.18659995,0.4524915774281908,0.0006652712,0.0,0.0
58,0.21969107,-0.13630405,0.5292639214755974,0.0024226317,0.0,0.0,0.19871123,-0.136452,0.5292639214755974,0.0021830408,0.0,0.0,0.22393844,0.35425916,0.5292639214755974,0.001248283,0.0,0.0,0.1891292,-0.13352416,0.5292639214755974,0.000743709,0.0,0.0
59,0.2256428,-0.08387275,0.606036265523004,0.0027817562,0.0,0.0,0.20649673,-0.08408738,0.606036265523004,0.0025024724,0.0,0.0,0.23034793,0.36166823,0.606036265523004,0.001401621,0.0,0.0,0.19801407,-0.08044838,0.606036265523004,0.00083317986,0.0,0.0
60,0.23088688,-0.03144122,0.6828086095704107,0.003213827,0.0,0.0,0.21330228,-0.03172276,0.6828086095704107,0.0028751327,0.0,0.0,0.23603863,0.3690773,0.6828086095704107,0.0015802449,0.0,0.0,0.20590441,-0.0273726,0.6828086095704107,0.0009365853,0.0,0.0
61,0.23549542,0.02099008,0.7595809536178173,0.0037536789,0.0,0.0,0.21927208,0.020641856,0.7595809536178173,0.0033172485,0.0,0.0,0.2410787,0.37648612,0.7595809536178173,0.0017948151,0.0,0.0,0.21292467,0.025703182,0.7595809536178173,0.0010584474,0.0,0.0
62,0.23952113,0.073421605,0.8363532976652239,0.004469602,0.0,0.0,0.22451597,0.07300647,0.8363532976652239,0.0038552627,0.0,0.0,0.2455171,0.3838952,0.8363532976652239,0.0020653754,0.0,0.0,0.21917118,0.07877883,0.8363532976652239,0.001206202,0.0,0.0
63,0.2430009,0.12585314,0.9131256417126306,0.0055132746,1.4278768e-11,7.254535203753389e-11,0.22911589,0.1253711,0.9131256417126306,0.004535441,2.8868827e-11,7.254535203753389e-11,0.24938513,0.39130425,0.9131256417126306,0.0024338504,1.7329903e-11,7.254535203753389e-11,0.2247167,0.13185474,0.9131256417126306,0.0013928647,1.5694532e-11,7.254535203753389e-11
64,0.24595833,0.17828466,0.9898979857600363,0.0072870855,5.55217e-10,2.8011124265053417e-09,0.2331328,0.17773616,0.9898979857600363,0.0054456596,1.1319621e-09,2.8011124265053417e-09,0.2526984,0.39871305,0.9898979857600363,0.0030011968,6.68425e-10,2.8011124265053417e-09,0.22961469,0.1849304,0.9898979857600363,0.001643079,6.0917577e-10,2.8011124265053417e-09
65,0.24840687,0.2307162,1.066670329807443,0.011214297,0.07248542,0.016196196722903667,0.23660956,0.23010078,1.066670329807443,0.006771015,0.065716945,0.016196196722903667,0.25545764,0.40612215,1.066670329807443,0.0040695686,0.0011755662,0.016196196722903667,0.23390205,0.23800631,1.066670329807443,0.002008335,0.10721955,0.016196196722903667
66,0.25036097,0.24517964,1.1434426738548495,0.02617493,0.44267228,0.042167335743397025,0.23957446,0.2449836,1.1434426738548495,0.00895847,0.44614324,0.042167335743397025,0.25765118,0.41963693,1.1434426738548495,0.0069517316,0.0016194456,0.042167335743397025,0.23760088,0.24557148,1.1434426738548495,0.0026116339,0.41246137,0.042167335743397025
67,0.25189072,0.25442243,1.2202150179022562,0.4446332,1.2766891e-09,6.450518154628525e-09,0.24204399,0.2534559,1.2202150179022562,0.013321693,2.6086708e-09,6.450518154628525e-09,0.25927204,0.5638315,1.2202150179022562,0.024557553,1.5047137e-09,6.450518154628525e-09,0.24072024,0.25317407,1.2202150179022562,0.0038099783,1.4018253e-09,6.450518154628525e-09
