mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
7,50,0.097576093,-0.008126057,0.097243392,-0.004281874,0.106153156,-0.001314074,0.092803505,-0.001913226,0.062962669,-0.034878862,0.003658814,-1550.509647,-0.141635143,1.047434739,0.005699087,-0.130520413,0.002044842
3,50,0.173538822,0.095195657,0.174325715,0.095445059,0.190734551,0.122579972,0.172216871,0.096115711,0.27696582,0.189786269,0.169908975,-1501.64117,0.098773687,0.927314,0.175079311,0.095508052,0.167053654
5,50,0.115485923,0.095932248,0.115931499,0.095860884,0.200291515,0.172106138,0.115804746,0.096647585,0.265127823,0.232870861,0.111794975,-1577.181776,0.09704851,1.060997973,0.115904694,0.095809231,0.112203938
7,50,0.070673552,-0.001036031,0.050912841,-0.000384446,0.15180646,0.055756494,0.046090214,-0.000184818,0.005322371,-1.93E-07,0.016980556,-1573.692866,-0.006694654,1.057858362,0.026974151,-0.00217028,0.006195276
3,50,0.147419121,0.138080925,0.147026693,0.13828152,0.19826067,0.207603369,0.145698391,0.139287039,0.246004667,0.245890452,0.147294733,-1544.246247,0.141481553,1.021954619,0.147415298,0.13803588,0.145116696
5,50,0.150309779,0.132240618,0.150322193,0.132297235,0.21710377,0.207146585,0.150244261,0.132539335,0.824419214,0.7491103,0.147053868,-1590.176048,0.135324234,1.020614388,0.150270343,0.132251914,0.145508956
7,50,0.041987984,-0.002157113,0.037509793,-0.00046661,0.062671774,0.014147836,0.034525377,-0.000184026,0.017679689,-0.000534857,0.010563112,-1589.638068,-0.018112318,1.034948165,0.012073529,-0.00932419,0.000354211
3,50,0.138097786,0.061732996,0.138161542,0.061815457,0.175317275,0.131977968,0.138467263,0.062277811,0.250346285,0.178444213,0.138746759,-1497.088457,0.062927724,1.027882817,0.138082164,0.061669956,0.13614134
5,50,0.053337342,0.00924381,0.053341596,0.00922173,0.152932406,0.084337873,0.052360457,0.010024167,0.719882061,0.759642719,0.042282579,-1560.994048,0.017553113,1.016736241,0.053350631,0.009201272,0.042708924
7,50,0.051359131,-0.00537477,0.050672609,-0.002124978,0.056247763,-0.001072169,0.053099887,-0.000973013,0.03976393,-0.01835088,0.000877054,-1554.045373,-0.094466138,0.959548138,0.000181967,-0.086503753,0.000141766
3,50,0.181204767,0.128659148,0.181153986,0.128786166,0.275869476,0.193468523,0.168555645,0.130560501,0.2177318,0.253239309,0.146242345,-1524.221982,0.135441806,1.063958913,0.168727705,0.12962248,0.13357133
5,50,0.120600506,-0.004743099,0.126910334,-0.000967185,0.128917829,0.017871894,0.129378882,-0.00059355,0.696844545,0.50340881,0.122238778,-1518.930951,-0.042692364,0.955859848,0.124383744,-0.040014899,0.117131026
7,50,0.089026703,-0.005970168,0.088961018,-0.002636732,0.094811402,-0.000944474,0.084228566,-0.001994613,0.071082605,-0.019911592,0.020951629,-1551.904674,-0.111482427,0.993065006,0.02203766,-0.104591901,0.012846558
3,500,0.527843974,0.464062036,0.525356523,0.463877161,0.544212948,0.508858567,0.524529508,0.464511155,0.494240911,0.491902405,0.508656984,-1921.649647,0.469755694,1.06082647,0.525355748,0.463633534,0.471502141
5,500,0.272827176,0.179885131,0.272686299,0.179875621,0.294523738,0.217496988,0.271484798,0.180256551,0.272319849,0.179963026,0.270110321,-2040.815991,0.18475044,1.015179734,0.272805892,0.179823497,0.266426581
7,500,0.066184222,0.063871031,0.064917899,0.064807996,0.088463834,0.087559231,0.065713418,0.065127312,0.065166591,0.064515535,0.069893395,-2097.483976,0.065379043,1.025419058,0.066196255,0.063854204,0.063302539
3,500,0.5249842,0.495063644,0.525000414,0.495226599,0.538837457,0.52580613,0.525417536,0.495266494,0.524455034,0.495736678,0.51050288,-1885.456388,0.50024739,0.985170421,0.525088632,0.495030086,0.506571338
5,500,0.268120431,0.25630744,0.26794809,0.256308556,0.30623364,0.276123587,0.264952644,0.256650382,0.255591777,0.261210753,0.252390186,-2006.57319,0.261344598,1.017800374,0.268038856,0.25624901,0.241996281
7,500,0.010416757,0.068093885,0.009930296,0.068216485,0.030972366,0.109472633,0.010257103,0.068530644,0.010475086,0.068163601,0.021138352,-2075.963357,0.076136083,0.895058814,0.010458382,0.068048858,0.02189713
3,500,0.483647693,0.409465266,0.483537878,0.410478699,0.494898847,0.443827059,0.483540595,0.409931358,0.483580322,0.409704306,0.483421043,-1874.55811,0.410536381,0.957254633,0.483652015,0.409422652,0.483574022
5,500,0.231671966,0.260899959,0.231657021,0.260925723,0.259959534,0.28972363,0.230706425,0.26194696,0.231663423,0.261113028,0.23801429,-2043.34916,0.267397144,1.015794275,0.231605927,0.260888454,0.234017244
7,500,0.096982396,0.065303524,0.096805996,0.065498791,0.147794539,0.088745226,0.097545019,0.066709163,0.084530699,0.077645114,0.103814896,-2094.577988,0.079222926,1.002989989,0.095357327,0.07195867,0.09734205
3,500,0.4761234,0.436381885,0.475698916,0.436721715,0.49060976,0.464632362,0.475785855,0.436796021,0.475994486,0.436587633,0.476714706,-1886.519238,0.438721876,0.975542527,0.476745131,0.436098794,0.474791544
5,500,0.264906031,0.200268232,0.264810314,0.200355323,0.288782158,0.216556889,0.262900316,0.20112822,0.241850848,0.20987317,0.231852536,-2047.491565,0.21326085,1.0059609,0.264762887,0.200235028,0.230041222
7,500,0.114860254,-0.004258094,0.097082127,-0.000588985,0.11954355,0.002668734,0.095763032,-0.000300675,0.084236932,-0.002297027,0.080815574,-2045.354447,-0.021839458,1.030121564,0.082518579,-0.015328825,0.077765458
3,500,0.53841762,0.466359633,0.5415619,0.466474191,0.573455938,0.504372345,0.541305907,0.466709162,0.54128475,0.466508899,0.530557204,-1911.811686,0.46897879,1.038842744,0.538573575,0.466329016,0.530541303
5,500,0.330413371,0.262386107,0.330436312,0.262383636,0.353147817,0.282122126,0.329613048,0.263165032,0.329788697,0.262645721,0.325525759,-2030.878808,0.263902173,1.044492859,0.330404348,0.262359294,0.324141423
7,500,0.101840648,0.02366967,0.101328626,0.022738729,0.107015912,0.058320291,0.101807287,0.024636217,0.10079405,0.032024095,0.071377713,-2072.162227,0.040311989,0.974302109,0.101097058,0.022485141,0.063547471
3,500,0.490794042,0.422988731,0.489879549,0.424114219,0.505066517,0.448125109,0.489253742,0.424674399,0.489033558,0.424427502,0.491418015,-1899.74709,0.425526936,0.97806376,0.490789403,0.422980847,0.48863822
5,500,0.210304991,0.151442425,0.210187422,0.15154335,0.218658844,0.182860116,0.210249706,0.152309811,0.204876672,0.157223982,0.203944567,-2025.722223,0.156706476,0.986348927,0.21024897,0.151412371,0.206066947
7,500,0.158570791,0.043359936,0.158549404,0.043430409,0.180648052,0.070032244,0.158391141,0.04380543,0.159099177,0.043398007,0.164352355,-2091.016352,0.050557812,0.926729714,0.158514873,0.043322971,0.163459915
3,500,0.532725615,0.494587877,0.532469874,0.494718267,0.573868412,0.529221511,0.530197337,0.49564912,0.502361328,0.510318921,0.511926663,-1915.615258,0.502680712,1.03204142,0.531662069,0.494648756,0.49266237
5,500,0.315299969,0.219105817,0.315297766,0.21911411,0.330327011,0.248398691,0.315645141,0.219725578,0.315163259,0.219240985,0.320228085,-2032.710512,0.220327985,0.989703798,0.315249964,0.219067513,0.319719766
7,500,0.078067331,0.030773023,0.078228628,0.030468325,0.093766393,0.066001336,0.077731957,0.031611735,0.091824551,0.041442195,0.068741594,-2072.552589,0.040017641,0.969583888,0.07828736,0.030250395,0.055933039
3,500,0.531062312,0.409088445,0.531112353,0.409128898,0.540389635,0.439000103,0.53149241,0.409337614,0.531140314,0.409174186,0.527580053,-1895.895588,0.415943529,0.955711206,0.531292844,0.408981957,0.529369384
5,500,0.268026404,0.155206612,0.267452696,0.1551653,0.300487953,0.197004912,0.264591928,0.156557605,0.221963609,0.172623873,0.229300244,-2030.345082,0.175138898,1.022829197,0.251794715,0.160225792,0.223290527
7,500,0.033072487,0.053043997,0.033031385,0.053037015,0.043192507,0.085978324,0.032566926,0.053661254,0.032652078,0.053103763,0.027635467,-2090.937442,0.058483889,1.004985234,0.03308173,0.053019388,0.026188122
3,500,0.477299414,0.491010998,0.477164433,0.491187002,0.514791951,0.520654864,0.476385885,0.491730839,0.463574689,0.496825324,0.464709227,-1935.918916,0.499707304,1.037615512,0.468183823,0.494780298,0.45696966
5,500,0.31023893,0.301509683,0.309471434,0.301925797,0.317003961,0.334391444,0.309725518,0.30238955,0.308219868,0.307518115,0.305212236,-2040.551536,0.305745273,0.955876626,0.310151953,0.301472344,0.297840676
7,500,0.143154108,0.013915039,0.142325778,0.014026884,0.158420159,0.054163562,0.14330914,0.014652955,0.143240894,0.014253942,0.13205369,-2071.031046,0.027292045,1.000158142,0.143152274,0.013873472,0.128178289
3,500,0.441115914,0.388263846,0.441041393,0.388279841,0.471856139,0.428865911,0.438390317,0.38876225,0.412485665,0.399120014,0.411539929,-1886.532715,0.400563273,1.040800735,0.412476243,0.398908524,0.411647205
